# Kerning | Font: Centenary-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø342.6  |  Basiswert UC (O+O): Ø515.1
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
.notdef;guillemotright;-103 (LC z3:390.1,z4:540.8,z5:514.5,z6:409.6,z7:371.8)
.notdef;quotesingle;-116 (LC z6:475,z7:454.9,z8:444.5)
.notdef;ampersand;-128 (LC z2:490.7,z3:385.8,z4:435.1,z5:540,z6:480.2,z7:431.4,z8:534.2)
.notdef;equal;15 (LC z4:328,z5:328)
.notdef;percent;-108 (LC z2:467,z3:572.7,z4:551.2,z5:446.3,z6:341.4,z7:335.6,z8:440.5)
.notdef;uni0308;-77 (LC z7:395.3,z8:444.4)
.notdef;gravecomb;280 (LC z6:152.7,z7:47.8,z8:-12.1)
.notdef;acutecomb;19 (LC z6:218.7,z7:323.6,z8:428.5)
.notdef;uni0302;191 (LC z6:46.5,z7:151.4,z8:256.3)
.notdef;uni030C;213 (LC z6:234.8,z7:129.9,z8:25)
.notdef;tildecomb;249 (LC z7:93.5)
.notdef;uni0327;-12 (LC z1:307.3,z2:369.4,z3:385.5)
.notdef;gravecomb.case;280 (LC z6:152.7,z7:47.8,z8:-12.1)
.notdef;acutecomb.case;19 (LC z6:218.7,z7:323.6,z8:428.5)
.notdef;uni0302.case;191 (LC z6:46.5,z7:151.4,z8:256.3)
.notdef;uni030C.case;213 (LC z6:234.8,z7:129.9,z8:25)
.notdef;tildecomb.case;249 (LC z7:93.5)
.notdef;uni0327.case;-12 (LC z1:307.3,z2:369.4,z3:385.5)
.notdef;dieresis;-105 (LC z7:459.7,z8:435)
.notdef;grave;280 (LC z6:152.7,z7:47.8,z8:-12.1)
.notdef;acute;19 (LC z6:218.7,z7:323.6,z8:428.5)
.notdef;circumflex;191 (LC z6:46.5,z7:151.4,z8:256.3)
.notdef;caron;213 (LC z6:234.8,z7:129.9,z8:25)
.notdef;tilde;249 (LC z7:93.5)
.notdef;cedilla;-12 (LC z1:307.3,z2:369.4,z3:385.5)
A;.notdef;-109 (mixed→LC z2:280,z3:384.9,z4:489.8,z5:594.7,z6:699.6,z7:804.5,z8:909.4) [cap:min=280→171.3]
A;A;182 (UC z2:76,z3:285.8,z4:495.6,z5:705.4,z6:915.2,z7:1125,z8:1327.3) [cap:min=76→257.5]
A;Aacute;182 (UC z2:76,z3:285.8,z4:495.6,z5:705.4,z6:915.2,z7:1125,z8:1327.3) [cap:min=76→257.5]
A;Acircumflex;182 (UC z2:76,z3:285.8,z4:495.6,z5:705.4,z6:915.2,z7:1125,z8:1327.3) [cap:min=76→257.5]
A;Adieresis;182 (UC z2:76,z3:285.8,z4:495.6,z5:705.4,z6:915.2,z7:1125,z8:1327.3) [cap:min=76→257.5]
A;Agrave;182 (UC z2:76,z3:285.8,z4:495.6,z5:705.4,z6:915.2,z7:1125,z8:1327.3) [cap:min=76→257.5]
